Coding_Scheme,Code_Value,Full_Name,Shortcode,Viewport,Unit,UCUM_Unit,CID_Source
LN,105002-0,Anterior descending artery.left Diameter by US,105002-0,,mm,mm,LOINC_db
LN,105003-8,Circumflex artery.left Diameter by US,105003-8,,mm,mm,LOINC_db
LN,105004-6,Coronary artery.right Diameter by US,105004-6,,mm,mm,LOINC_db
LN,105005-3,Patent ductus arteriosis Peak pressure gradient by US,105005-3,,mm[Hg],,LOINC_db
LN,105006-1,Patent ductus arteriosis Mean pressure gradient by US,105006-1,,mm[Hg],,LOINC_db
LN,105007-9,Aortic valve Fenestration.pressure gradient.mean by US,105007-9,,mm[Hg],,LOINC_db
LN,105167-1,MR Heart cine for function WO contrast,105167-1,,nan,,LOINC_db
LN,105168-9,MR Heart cine for function WO and W contrast IV,105168-9,,nan,,LOINC_db
LN,105169-7,MR Heart cine for function W contrast IV,105169-7,,nan,,LOINC_db
LN,105170-5,MRA Heart WO contrast IV,105170-5,,nan,,LOINC_db
LN,105171-3,MRA Heart W contrast IV,105171-3,,nan,,LOINC_db
LN,105172-1,MRA Heart WO and W contrast IV,105172-1,,nan,,LOINC_db
LN,105173-9,MR Heart cine for blood flow velocity mapping WO contrast IV,105173-9,,nan,,LOINC_db
LN,105174-7,MR Heart cine for blood flow velocity mapping WO and W contrast IV,105174-7,,nan,,LOINC_db
LN,105224-0,Mycobacterium sp identified in Pericardial fluid by Organism specific culture,105224-0,,nan,,LOINC_db
LN,105668-8,Nocardia sp DNA [Presence] in Specimen by NAA with probe detection,105668-8,,nan,,LOINC_db
LN,105739-7,Cytomegalovirus DNA [Presence] in Pericardial fluid by NAA with probe detection,105739-7,,nan,,LOINC_db
LN,105740-5,Adenovirus DNA [Presence] in Pericardial fluid by NAA with probe detection,105740-5,,nan,,LOINC_db
LN,105741-3,Epstein Barr virus DNA [Presence] in Pericardial fluid by NAA with probe detection,105741-3,,nan,,LOINC_db
LN,105742-1,Epstein Barr virus DNA [#/volume] (viral load) in Pericardial fluid by NAA with probe detection,105742-1,,{copies}/mL,,LOINC_db
LN,105743-9,Herpes virus 6 DNA [Presence] in Pericardial fluid by NAA with probe detection,105743-9,,nan,,LOINC_db
LN,105744-7,Parvovirus B19 DNA [Presence] in Pericardial fluid by NAA with probe detection,105744-7,,nan,,LOINC_db
LN,106637-2,Was the patient or responsible party asked about preference regarding the use of cardiopulmonary resuscitation during assessment period [CMS Assessment],106637-2,,nan,,LOINC_db
